Timestamp,Concentration (or best guess),Secondary (if applicable),Graduation Year,Prior CS background:,Do you have plans to take any CS courses in the future?,Are you interested in getting a:,Are you interested in pursuing a job with a quantitative focus after graduation?,"Have you ever considered taking a computer science course? If not, why not? If you have considered it, why did you decide not to take it?","In your opinion, should some programming knowledge be a requirement for graduation? If not, why not? If so, why?",What three words best describe a computer science concentrator at Harvard?,What made you decide to take your first CS course?,What were your impressions of CS students before you took your first class? After?,How accessible was the professor of this class?,How accessible were the teaching fellows of this class?,"Do you think you’ll take another CS class? If so, why? If not, why not?",How good are you at programming compared to others in the CS classes you've taken?,How good are you at CS theory compared to others in the CS classes you've taken?,What CS classes have you taken or are currently taking?,What is your estimated concentration GPA?,How many years have you been programming?,How often do you go to office hours on average for your CS classes?,How often do you think the average CS student goes to office hours?,How accessible are professors in your CS classes?,How accessible are teaching fellows in your CS classes?,How often do you interact with your CS class course staff?,How involved do you feel with the CS community at Harvard?,"Do you consider yourself a member of any tech student organizations on campus? If yes, specify which ones.",How easy is it to find partners to work with on psets or final projects?,Are there any specific classes in which finding partners has been hard?,How have you met people to work on class material with?,I like CS because it gives me a tool to make a difference in other areas I care about.,I like CS because I am interested in the CS problems I get to think about and solve.,"If you are a sophomore, junior, or senior, what did you do last summer?",How stressful is the process of finding a summer internship/job?,"Have you ever been referred to a tech internship or full-time position? If so, how many times?","Do you have a role model and/or mentor in CS? If so, who? ",Do you feel like you need more support in CS from:,What three words would you use to describe a computer science concentrator?,What will you most likely pursue after graduation?,What type of graduate school are you interested in?,What subfield in tech industry would you be interested in working in?,What gender do you identify with,What race(s) do you identify with?,"By your estimates, is there a gender gap in enrollment in CS classes?","If yes, what factors (related or unrelated to college) do you think cause this gap?","If yes, what is the impact of this gender gap on your experience of CS at Harvard? "
3/30/2017 20:48:47,Physics/Math,CS,2017,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,"Felt I wasn't very good at programming, wanted to be able to make things like my friends",Definitely surprised by diversity; I expected them to be more mathematical,1,5,"No, because graduating",,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,4,Unsure,I've mostly stayed in my bubble of friends and not attempted to meet new people in my CS classes; I don't know if it is caused in part by the gender gap or if it's unrelated and means the gap doesn't impact me at all
3/30/2017 20:53:18,Computer Science,Economics most likely,2019,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,3,"CS20, CS50, CS51",3.44,1,At least once a week,3-8 times a semester,2,3,At least once a week,1,No,5,No,Friends before taking the class,3,4,Marketing internship at small business,5,0 - never been referred,No - would like one,"Advisors, Mentors","Hard-working, nerdy, pompous about cs abilities","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Business development / growth hacking",Female,Asian,3,Not enough exposure before college ,Haven't really been impacted yet - I would prefer a mentor/advisor that is a woman
3/30/2017 21:04:47,Mathematics,,2020,Never taken CS at Harvard,Yes,CS Secondary,Yes,"Yes, I'm considering taking cs50 or cs124. I didn't take cs50 because I was scared of the workload and heard it was a lot of busywork/ the time and effort wasn't worth whatever i'd learn. ","no, i don't think it should be a requirement for graduation because even though it's a very hot topic, harvard attracts so many diverse people with different talents that it seems really unfair. i think it's reasonable and maybe desirable to encourage all STEM and maybe social science concentraters to have some programming knowledge though.","busy, dedicated, quantitative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,4,"discouraging women from math and quantitative pursuits early in childhood, perceived separation of femininity and cs, perception that women won't be taken seriously",i feel like i'm not as smart as some of the guys here and that they might look down on me 
3/30/2017 21:07:40,Computer Science,Neurobiology,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,2,2,"CS50, CS51",4,1,At least once a week,3-8 times a semester,2,4,At least once a week,3,Harvard Computer Society,2,No,Previously friends,5,3,N/A,4,0 - never been referred,No,"Peers, Advisors, Teaching Staff, Professors, Mentors","Nerdy, quirky, stressed",Product Management,,,Female,Asian,3,None,None
3/30/2017 21:07:42,Computer science,,2019,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,3,"CS50, CS51, CS61, CS121, CS124, 152",3.5,5,3-8 times a semester,3-8 times a semester,4,4,3-8 times a semester,2,No,3,No,OH ,3,4,N/a,4,0 - never been referred,No,None of the above,Cool cool cool,"Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Web or mobile development (backend), Graphics / Design, Systems engineering, Uncertain",Male,Caucasian,3,Different interests,None
3/30/2017 21:08:38,Computer Science,,2019,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,3,"CS50, CS51, CS121, CS124, CS171, Stat110",3.9,2,Never,At least once a week,2,4,1-2 times a semester,2,HCS,1,CS 205,By recommendation of professor,4,4,Worked at HSA,5,3 or more,No,"Peers, Professors","Studious, busy, flustered","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Web or mobile development (backend), Machine Learning / Artificial Intelligence",Male,Asian,3,"I legitimately think that a lot of girls are just uninterested in CS. Whatever that may be due to, whether it's societal pressure or just genuine disinterest, I don't know.",I don't really think it's affected my experience apart from making me more aware of the gender gap.
3/30/2017 21:09:30,Math,ESPP,2020,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,"The material is interesting and new, and is applicable outside of just CS.","Didn't really change. I get the sense that a lot of people are majoring in CS because it 'looks good', without a clear understanding of what exactly they want to do with it.",4,2,Yes. I think the info is important for me to know.,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Asian,3,"I can't really speak for what might cause this gap. However, I have noticed that all of my CS (and STEM in general) classes so far have been taught by male professors, and talking to upperclassmen, it seems like I'm going to have to specifically select for courses taught by female professors in order to change that.","This gender gap has not really impacted me, because I am friends with a large group of women who are taking CS classes (in fact, within my own group of friends, the gender gap is actually reversed). This is just something that I have noticed on a broader scale."
3/30/2017 21:14:14,Computer Science,Mathematical Sciences,2018,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,3,"CS20, CS50, CS51, CS61, CS121, CS124, CS134, CS161, CS181, Stat110",3.7,5,3-8 times a semester,3-8 times a semester,4,4,3-8 times a semester,4,"WiCS, DLP",5,no,My roommate and I take all the same classes,4,5,Explorer internship at Microsoft,3,2,Margo Seltzer,"Peers, Professors","nerd (in a good way), self-righteous, cliqueish","Graduate School (includes all types - business school, grad school, med school, etc.)",PhD program in computer science,,Female,"Asian, Caucasian",3,I'm in the advo committee so you know what I think,I'm in the advo committee so you know what I think
3/30/2017 21:16:30,Math,,2020,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Friends,Nerds. Diverse ambitious ppl who rejected finance,4,5,"Yeah, i love them",,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Asian,4,Cultural stereotypes,Not much for me
3/30/2017 21:18:46,Social Studies,,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Girls Who Code,"I did not have any impressions of CS students before, but after taking the class I realized that I didn't really like most CS students in the context of CS.  Way too competitive and individualistic. ",4,4,Nope. The environment was incredibly toxic and horrible for one's health. I'm so done with pset all-nighters. ,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,3,"The fact that CS guys are not at all welcoming to women in the field, whether in college or in the workforce. They are so far ahead that it seems impossible to catch up.",It's convinced me that I definitely don't want to do CS.
3/30/2017 21:19:55,Computer Science,Statistics,2018,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,4,"CS50, CS51, CS61, CS121, CS124, CS134, CS171, CS181, CS182, Stat110, 222,242",3.8,3,Never,1-2 times a semester,4,4,1-2 times a semester,4,HCS,4,No,Friends,5,5,Software Engineering Intern,3,2,No,"Peers, Teaching Staff","Creative, flexible, problem-solver","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Web or mobile development (backend), Machine Learning / Artificial Intelligence",Male,Asian,4,No idea,Nothing to measure against
3/30/2017 21:19:58,Computer Science,,2018,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,2,"CS50, CS51, CS61, CS121, CS124, CS134, CS179, CS175",3.4,3,At least once a week,3-8 times a semester,2,4,At least once a week,4,WiCS,4,CS50,Prior friends,4,4,Explorer intern at Microsoft,5,1,Jennifer ,"Peers, Advisors, Teaching Staff, Professors, Mentors","Tired, depressed, saidstic","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Business development / growth hacking, Security Engineering, Systems engineering",Female,Caucasian,4,"Lack of peers in classes, pipeline problem",Its been hard to find partners in classes
3/30/2017 21:20:25,Math/Physics,Computer Science,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,"I want to be able to do shit.  Knowing how to program and thing like CS concentrators gives me the ability to  build models, analyze data, build websites, etc.  All skills that I can apply to anything.  It's so new that I can be good at it.  ",I thought it was a bunch of people who just wanted to make a lot of money or were STEM people not smart enough to do pure science stuff.  ,4,4,Yeah definitely.  Won't take too many though.  Just through 124/181 probably.,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Caucasian,5,"Several reasons:  Men (generally) feel more pressure to make money, CS is the easiest way to do that.  Women (generally) care more about their health and CS is fucking terrible for your overall physical health (no sleep, excessive caffeine, days without being able to do normal things like exercise, etc).  CS also requires A LOT of struggling and men are less likely to doubt themselves when they struggle.  Thus even though men and women may struggle the same in a class, men don't think their struggling means they're bad at CS whearas the inevitable struggle CS requires causes women to think CS isn't for them.  CS is also just a competitive environment - who has the fastest code, who is taking the hardest classes, who has the most impressive internship etc.  I like this - it drives me to pay attention to strategies that other people are using and to work hard.  But the women I know in CS generally don't like this.  I think that competativeness is inevitable in anything as difficult but lucrative as CS, and any attempts to make CS classes easier or less stressful would piss people off who want to challenge themselves and learn.","Since I'm in three CS classes now, it means I interact with men more than I do with women.  Also most of the people I think are above and beyond smart are men - simply because men are in more of my classes and thus are top students in more of my classes.  I would really LOVE for there to be more women in CS.  "
3/30/2017 21:27:01,Computer Science,Math,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,5,5,"CS50, CS51",4,4,Never,3-8 times a semester,2,3,Never,4,HCS,5,no,yes,4,5,N/A,4,2,no,None of the above,"hard-working, smart, bland","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (backend), Product Management, Business development / growth hacking, Security Engineering, Systems engineering",Male,Caucasian,3,"interests, stereotypes",none
3/30/2017 21:41:33,Computer Science,,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,3,CS50,3.6,2,1-2 times a semester,3-8 times a semester,2,5,At least once a week,4,HCS,4,Nope,Outside of class,5,5,N/A,5,0 - never been referred,Nope,"Peers, Advisors, Mentors",Wizards of awesomeness,"Tech Industry (includes all roles - software, PM, etc.)",,"Machine Learning / Artificial Intelligence, Hardware / Embedded Systems, Security Engineering, Systems engineering",Female,Caucasian,5,Society ,A lot more of my friends are males
3/30/2017 21:45:35,Economics,,2020,Never taken CS at Harvard,Yes,Neither of the above,No,"Yes, CS50. I had other classes I had to take freshman fall for my intended concentration and pre-med. I also wanted to take a freshman seminar as my 4th class. ","Yes, technology is a growing field and I've been told it's an expectation that college students should know the basics of coding. ","Determined, Passionate, Curious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,2,lack of role models,not much. Harvard students are doing a lot to expose other students to tech and CS. 
3/30/2017 22:04:52,AM/Ec,,2020,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Wanted to get an introduction to CS,smart. Smarter than me. ,4,5,Yes. I want to learn data science but not necessarily programming.,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Asian,3,Differences in expectations,not much?
3/30/2017 22:16:58,Computer Science,GERMAN,2018,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,4,CS124,3.4,3,1-2 times a semester,At least once a week,2,4,At least once a week,2,hurc,2,n/a,blocking group,5,5,android app,5,2,no,"Advisors, Teaching Staff, Professors, Mentors","driven, greedy, stubborn ","Graduate School (includes all types - business school, grad school, med school, etc.)",Business,,Female,Hispanic or Latino,5,"Gender expectations, culture, community",It hinders my ability to fully develop and show what I can do
3/30/2017 22:19:58,MCB,EAS,2018,Never taken CS at Harvard,No,Neither of the above,No,No; other courses I find more interesting,No; not all careers would require such knowledge,perhaps slightly obsessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,3,Perception that there are still significant obstacles for women pursuing careers in CS?,See above?
3/30/2017 23:11:23,Applied math,,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Everybody else was taking it (CS50),"Before, I didn't really have any impressions. Afterwards, I felt like people who really succeed in CS have lots of prior experience and confidence.",3,5,"I will, because it is important material, and for concentration requirements.",,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Asian,3,"It probably begins in high school, when girls see fewer girls taking math and science courses.",It hasn't made a significant impact on my experience.
3/30/2017 23:12:14,Applied Math,,2020,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,interest in CS,"STEM-focused, not too diverse in interests",1,5,yes; I still enjoy it,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,3,generally less women interested in CS,"as a woman, it makes me feel special/unique"
3/30/2017 23:15:11,Computer science,,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,1,1,"CS50, CS51",3.4,5,At least once a week,3-8 times a semester,1,1,At least once a week,2,"Wics,",5,No,Some,5,4,NA,5,0 - never been referred,No,"Peers, Advisors, Teaching Staff, Professors, Mentors","Stressed, problem solvers, hard workers","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Machine Learning / Artificial Intelligence, Graphics / Design, Image processing / VR",Female,Hispanic or Latino,3,gender expectations ,harder to connect w other cs students 
3/30/2017 23:17:07,Computer Science,Mathematical Sciences,2018,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,5,3,"CS20, CS50, CS51, CS61, CS121, CS124, CS134, CS161, CS181, CS182, Stat110, CS175",3.64,7,1-2 times a semester,3-8 times a semester,4,4,1-2 times a semester,3,"Harvard Undergraduate Robotics Club, Harvard College Engineering Society",4,CS 124,"Office Hours, Blockmates",5,5,Full stack developer intern at TransferWise,5,3 or more,"James Mickens, Margo Seltzer",None of the above,"Nerd (in a good way), hard-working, creative","Tech Industry (includes all roles - software, PM, etc.)",,"Product Management, Machine Learning / Artificial Intelligence, Hardware / Embedded Systems, Security Engineering, Systems engineering",Male,Caucasian,4,"Society. Girls are turned away from STEM fields throughout their lives. Boys get legos, girls get barbies, etc.","As a guy I don't think it has really impacted my experience. I imagine that if I was a girl, then my answer would be quite different."
3/30/2017 23:21:28,History of Science,,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,to learn a practical skill,before: CS students are innately smart // after: there are many CS students who work really hard to get to where they are,4,5,"Yes, I would like to expand my skill set
",,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,2,"Confidence, encouragement, visibility of mentors ",It has not had an impact on me so far
3/30/2017 23:31:47,Computer Science,,2017,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,5,2,"CS20, CS50, CS51, CS61, CS121, CS124, Stat110, CS262, CS263, CS265",3.2,3.5,At least once a week,At least once a week,5,5,At least once a week,4,No,2,Any grad classes,"From WiCS, from Grace Hopper, from other conferences",4,5,Software Engineering Intern at Etsy,4,3 or more,Margo Seltzer ,Peers,Very hard working,"Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (backend), Security Engineering, Systems engineering",Female,"Caucasian, Hispanic or Latino",4,"I specifically marked this as higher because of my experience in grad classes. The gender gap has been much greater in grad classes and I think this is predominately because of the prerequisites listed for classes that aren't real prerequisites (like 161 for 262 or 263). In other classes I think it was about 30-40% women whereas grad classes I've taken have been 10-20%, with there being 3-5 women in the class other than me. This reminds me of the job application problem that you frequently hear related to women vs. men. Women won't apply for a job unless they meet all the qualifications vs men will. Despite telling several of my female friends that they could handle a grad class (which are frequently easier than undergrad classes), they won't take them because of the prerequisites and because they think they'll be really hard. Eddie Kohler did a great job at the end of 61 this past semester encouraging students to take grad classes (saying that sometimes they're easier than undergrad classes) and I think we need more of that. I also think it would help to change the prerequisites. I acknowledge that part of this may be to deter enrollment to keep class sizes down but I think this is disproportionately deterring women. Maybe lotteries would be better? (As much as I hate that idea). ",It's nerve-wracking to take a grad class because I know there will be very few women in the class. 
3/30/2017 23:37:04,Computer Science,Mathematics,2018,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,5,3,"CS51, CS61, CS125, CS161, CS165, CS181, Stat110, CS262, CS260r, CS224, MIT 6.829",3.9,10,3-8 times a semester,At least once a week,5,5,At least once a week,5,No,5,No,Meeting in class,5,5,"Junior, Software Engineering Intern at Google",5,2,"Yes, Margo Seltzer :)",None of the above,I don't know,"Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (backend), Machine Learning / Artificial Intelligence, Hardware / Embedded Systems, Graphics / Design, Security Engineering, Systems engineering",Male,Brazilian,5,No idea,"I'm usually much better friends with girls, so that kind of sucks"
3/31/2017 0:10:49,Computer Science,Government,2019,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,3,"CS51, CS121, CS134",4,3,At least once a week,At least once a week,2,5,At least once a week,2,WiCS a little,3,CS 121,Yes,2,4,Internship,3,0 - never been referred,Not really,"Peers, Advisors, Teaching Staff, Professors, Mentors",More focused on applications and implications of technologies ,Finance,,,Female,"Asian, Caucasian",2,Interest,None really
3/31/2017 0:15:25,Mathematics,Physics or Computer Science,2020,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Freshman Spring,"I mean, it would be sort of weird if I had one particular perception of CS students because so many people concentrate in it, and they come from so many different backgrounds.",4,4,"Probably mainly theory classes, such as CS 121, 124.",,,,,,,,,,,,,,,,,,,,,,,,,,,Male,"Asian, Caucasian",4,"Perhaps society pressures women to not go into hard STEM such as math, CS, physics? ","We cannot have CS be so dominated by men because it further discourages women from trying out the field, having a diversity of background is ultimately what we need in order for the field to progress, and to create a community that actively invites all people to do such subjects."
3/31/2017 0:22:48,Computer Science,East Asian Studies,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,3,"CS50, CS51",4,2,At least once a week,At least once a week,2,5,At least once a week,3,HCS,1,CS51,No,3,5,N/a,4,1,N/a,"Peers, Professors","Logic, Coding, Late-nights","Graduate School (includes all types - business school, grad school, med school, etc.)",Studying more cs,,Male,Asian,4,Discrimination and sexual stereotypes being a self-fulfilling prophecy,N.a
3/31/2017 0:25:48,life sciences/econ/statistics,,2020,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,I was interested in concentrating in CS,"As expected, there was a wide variety.",1,3,Not sure yet. Ultimately decided not to take another CS class this semester because they seemed too work intensive for the amount received from them. Also enjoyed CS50 a LOT less than expected which turned me off...,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,3,"mentality of girls versus boys which comes from life experiences at a young age (boys are confident in their abilities, girls second guess themselves and research shows they value their skills less than their objective worth); lack of mentorship/role models","Not sure if this is directly related to the gender gap, but I found a disappointing lack of mentorship/advising from Harvard CS professors. For example, my academic advisor is a CS professor but I have only met with him once and he often doesn't even have the courtesy to respond to my emails. This lack of willingness, which I found when reaching out to other CS professors as well, to help a confused freshmen did not bode well for the rest of my college experience as a CS concentrator, which was a large factor in deciding not to pursue CS at Harvard at this time. I would like to commend Professor Lewis as he definitely stood out as the most supportive and responsive of all the CS department that I (attempted to) talk to. "
3/31/2017 2:07:25,Computer Science,Econ,2018,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,2,5,"CS20, CS50, CS51, CS121, CS124, CS134",3,3,At least once a week,3-8 times a semester,1,4,3-8 times a semester,3,Wics,4,124/50,Yes,4,4,PM,5,3 or more,Jim Waldo ,"Peers, Advisors, Teaching Staff, Professors, Mentors","Masochist, driven, technical",Uncertain,,,Female,Caucasian,3,Social cues,Makes me feel inferior and unintelligent at points
3/31/2017 2:10:02,Computer Science,,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,3,"CS20, CS50, CS51",,2-3,1-2 times a semester,Never,4,5,1-2 times a semester,4,HCS,5,No,Yes,2,5,N/A,4,0 - never been referred,N/A,Mentors,N/A,Uncertain,,,Male,Asian,4,"The perception of computer programming as an antisocial task, maybe? (think the lonely guy hacking away in a corner)","Not huge (since I'm in the majority), though I would think it would be awesome to interact more with women in computer science."
3/31/2017 2:32:57,Computer Science / math,,2017,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,4,"cs282,229",,8,1-2 times a semester,3-8 times a semester,3,4,3-8 times a semester,2,no,3,big classes,friends already,4,4,Research in CS,4,1,my advisor,"Peers, Mentors","practical, nerdy, technical",Uncertain,,,Male,Asian,5,self perpetuating stereotypes. bro-y culture in CS,less diverse classrooms 
